# y+ ()       
# Time        	patch         	min           	max           	average       
0.110972      	BOTTOM	6.154114e-07	2.705949e+01	2.949137e+00
0.110972      	WALL	5.272069e-03	1.890586e+01	3.187586e+00
0.111599      	BOTTOM	3.470154e-07	2.714437e+01	2.959197e+00
0.111599      	WALL	5.323754e-03	1.895148e+01	3.176973e+00
0.11223       	BOTTOM	6.169988e-07	2.722869e+01	2.969241e+00
0.11223       	WALL	5.383528e-03	1.899945e+01	3.163966e+00
0.112862      	BOTTOM	1.749340e-07	2.731249e+01	2.979231e+00
0.112862      	WALL	5.500325e-03	1.904509e+01	3.152899e+00
0.113493      	BOTTOM	2.838349e-07	2.739579e+01	2.989162e+00
0.113493      	WALL	5.671367e-03	1.909165e+01	3.143113e+00
0.114125      	BOTTOM	3.783881e-07	2.747863e+01	2.999065e+00
0.114125      	WALL	5.843649e-03	1.913700e+01	3.138032e+00
0.114752      	BOTTOM	5.283763e-07	2.756101e+01	3.008910e+00
0.114752      	WALL	5.975050e-03	1.917722e+01	3.132735e+00
0.115374      	BOTTOM	6.004726e-07	2.764290e+01	3.018718e+00
0.115374      	WALL	6.100517e-03	1.922074e+01	3.132637e+00
0.115996      	BOTTOM	1.807871e-07	2.772428e+01	3.028457e+00
0.115996      	WALL	6.266932e-03	1.926076e+01	3.129924e+00
0.116614      	BOTTOM	7.124405e-07	2.780517e+01	3.038140e+00
0.116614      	WALL	6.440775e-03	1.930589e+01	3.126404e+00
0.117231      	BOTTOM	3.213187e-07	2.788556e+01	3.047774e+00
0.117231      	WALL	6.636829e-03	1.934371e+01	3.121843e+00
0.117849      	BOTTOM	3.543687e-07	2.796546e+01	3.057370e+00
0.117849      	WALL	6.864255e-03	1.938984e+01	3.116128e+00
0.118467      	BOTTOM	2.117227e-07	2.804490e+01	3.066887e+00
0.118467      	WALL	7.182671e-03	1.942522e+01	3.110502e+00
0.119084      	BOTTOM	5.127842e-07	2.812389e+01	3.076391e+00
0.119084      	WALL	7.561896e-03	1.947145e+01	3.105237e+00
0.119702      	BOTTOM	7.462496e-07	2.820245e+01	3.085828e+00
0.119702      	WALL	7.815234e-03	1.950425e+01	3.099467e+00
0.12032       	BOTTOM	6.602517e-07	2.828059e+01	3.095285e+00
0.12032       	WALL	7.884968e-03	1.954942e+01	3.093203e+00
0.120942      	BOTTOM	1.073432e-06	2.835833e+01	3.104697e+00
0.120942      	WALL	7.871880e-03	1.957832e+01	3.085163e+00
0.121565      	BOTTOM	5.288461e-07	2.843572e+01	3.114126e+00
0.121565      	WALL	7.981835e-03	1.962184e+01	3.075760e+00
0.122192      	BOTTOM	8.217417e-07	2.851329e+01	3.123544e+00
0.122192      	WALL	8.282997e-03	1.964712e+01	3.064022e+00
0.12282       	BOTTOM	3.316385e-07	2.859102e+01	3.132940e+00
0.12282       	WALL	8.476821e-03	1.968794e+01	3.052592e+00
0.123447      	BOTTOM	3.778937e-07	2.866848e+01	3.142297e+00
0.123447      	WALL	8.468740e-03	1.967974e+01	3.043489e+00
0.124224      	BOTTOM	1.389770e-06	2.874603e+01	3.152539e+00
0.124224      	WALL	8.489727e-03	1.969091e+01	3.044359e+00
0.125         	BOTTOM	1.443208e-06	2.882464e+01	3.162563e+00
0.125         	WALL	8.244981e-03	1.971651e+01	3.050409e+00
0.125625      	BOTTOM	6.621935e-07	2.890369e+01	3.171955e+00
0.125625      	WALL	8.183010e-03	1.975790e+01	3.059195e+00
0.12625       	BOTTOM	5.037645e-07	2.898221e+01	3.181529e+00
0.12625       	WALL	8.263565e-03	1.977270e+01	3.064722e+00
0.126875      	BOTTOM	9.101970e-07	2.906036e+01	3.191126e+00
